# name           keyword        type          type_desc(optional)
ldoce            ldoce          en
urbandictionary  u              nsfw
wikipedia        waa            aa            Afar
wikipedia        wab            ab            Abkhazian
wikipedia        wace           ace           Acehnese
wikipedia        wady           ady           Adyghe
wikipedia        waf            af            Afrikaans
wikipedia        wak            ak            Akan
wikipedia        wals           als           Alemannic
wikipedia        wam            am            Amharic
wikipedia        wan            an            Aragonese
wikipedia        wang           ang           Anglo-Saxon
wikipedia        war            ar            Arabic
wikipedia        warc           arc           Aramaic
wikipedia        warz           arz           Egyptian-Arabic
wikipedia        was            as            Assamese
wikipedia        wast           ast           Asturian
wikipedia        watj           atj           Atikamekw
wikipedia        wav            av            Avar
wikipedia        way            ay            Aymara
wikipedia        waz            az            Azerbaijani
wikipedia        wazb           azb           Southern-Azerbaijani
wikipedia        wba            ba            Bashkir
wikipedia        wbar           bar           Bavarian
wikipedia        wbat-smg       bat-smg       Samogitian
wikipedia        wbcl           bcl           Central-Bicolano
wikipedia        wbe            be            Belarusian
wikipedia        wbe-tarask     be-tarask     Belarusian-Taraškievica
wikipedia        wbg            bg            Bulgarian
wikipedia        wbh            bh            Bhojpuri
wikipedia        wbi            bi            Bislama
wikipedia        wbjn           bjn           Banjar
wikipedia        wbm            bm            Bambara
wikipedia        wbn            bn            Bengali
wikipedia        wbo            bo            Tibetan
wikipedia        wbpy           bpy           Bishnupriya-Manipuri
wikipedia        wbr            br            Breton
wikipedia        wbs            bs            Bosnian
wikipedia        wbug           bug           Buginese
wikipedia        wbxr           bxr           Buryat
wikipedia        wca            ca            Catalan
wikipedia        wcbk-zam       cbk-zam       Chavacano
wikipedia        wcdo           cdo           Min-Dong
wikipedia        wce            ce            Chechen
wikipedia        wceb           ceb           Cebuano
wikipedia        wch            ch            Chamorro
wikipedia        wcho           cho           Choctaw
wikipedia        wchr           chr           Cherokee
wikipedia        wchy           chy           Cheyenne
wikipedia        wckb           ckb           Kurdish-Sorani
wikipedia        wco            co            Corsican
wikipedia        wcr            cr            Cree
wikipedia        wcrh           crh           Crimean-Tatar
wikipedia        wcs            cs            Czech
wikipedia        wcsb           csb           Kashubian
wikipedia        wcu            cu            Old-Church-Slavonic
wikipedia        wcv            cv            Chuvash
wikipedia        wcy            cy            Welsh
wikipedia        wda            da            Danish
wikipedia        wde            de            German
wikipedia        wdin           din           Dinka
wikipedia        wdiq           diq           Zazaki
wikipedia        wdsb           dsb           Lower-Sorbian
wikipedia        wdty           dty           Doteli
wikipedia        wdv            dv            Divehi
wikipedia        wdz            dz            Dzongkha
wikipedia        wee            ee            Ewe
wikipedia        wel            el            Greek
wikipedia        weml           eml           Emilian-Romagnol
wikipedia        wen            en            English
wikipedia        weo            eo            Esperanto
wikipedia        wes            es            Spanish
wikipedia        wet            et            Estonian
wikipedia        weu            eu            Basque
wikipedia        wext           ext           Extremaduran
wikipedia        wfa            fa            Persian
wikipedia        wff            ff            Fula
wikipedia        wfi            fi            Finnish
wikipedia        wfiu-vro       fiu-vro       Võro
wikipedia        wfj            fj            Fijian
wikipedia        wfo            fo            Faroese
wikipedia        wfr            fr            French
wikipedia        wfrp           frp           Franco-Provençal
wikipedia        wfrr           frr           North-Frisian
wikipedia        wfur           fur           Friulian
wikipedia        wfy            fy            West-Frisian
wikipedia        wga            ga            Irish
wikipedia        wgag           gag           Gagauz
wikipedia        wgan           gan           Gan
wikipedia        wgd            gd            Scottish-Gaelic
wikipedia        wgl            gl            Galician
wikipedia        wglk           glk           Gilaki
wikipedia        wgn            gn            Guarani
wikipedia        wgom           gom           Konkani
wikipedia        wgor           gor           Gorontalo
wikipedia        wgot           got           Gothic
wikipedia        wgu            gu            Gujarati
wikipedia        wgv            gv            Manx
wikipedia        wha            ha            Hausa
wikipedia        whak           hak           Hakka
wikipedia        whaw           haw           Hawaiian
wikipedia        whe            he            Hebrew
wikipedia        whi            hi            Hindi
wikipedia        whif           hif           Fiji-Hindi
wikipedia        who            ho            Hiri-Motu
wikipedia        whr            hr            Croatian
wikipedia        whsb           hsb           Upper-Sorbian
wikipedia        wht            ht            Haitian
wikipedia        whu            hu            Hungarian
wikipedia        why            hy            Armenian
wikipedia        whz            hz            Herero
wikipedia        wia            ia            Interlingua
wikipedia        wid            id            Indonesian
wikipedia        wie            ie            Interlingue
wikipedia        wig            ig            Igbo
wikipedia        wii            ii            Nuosu
wikipedia        wik            ik            Inupiak
wikipedia        wilo           ilo           Ilocano
wikipedia        winh           inh           Ingush
wikipedia        wio            io            Ido
wikipedia        wis            is            Icelandic
wikipedia        wit            it            Italian
wikipedia        wiu            iu            Inuktitut
wikipedia        wja            ja            Japanese
wikipedia        wjam           jam           Jamaican-Patois
wikipedia        wjbo           jbo           Lojban
wikipedia        wjv            jv            Javanese
wikipedia        wka            ka            Georgian
wikipedia        wkaa           kaa           Karakalpak
wikipedia        wkab           kab           Kabyle
wikipedia        wkbd           kbd           Kabardian
wikipedia        wkbp           kbp           Kabiye
wikipedia        wkg            kg            Kongo
wikipedia        wki            ki            Kikuyu
wikipedia        wkj            kj            Kuanyama
wikipedia        wkk            kk            Kazakh
wikipedia        wkl            kl            Greenlandic
wikipedia        wkm            km            Khmer
wikipedia        wkn            kn            Kannada
wikipedia        wko            ko            Korean
wikipedia        wkoi           koi           Komi-Permyak
wikipedia        wkr            kr            Kanuri
wikipedia        wkrc           krc           Karachay-Balkar
wikipedia        wks            ks            Kashmiri
wikipedia        wksh           ksh           Ripuarian
wikipedia        wku            ku            Kurdish-Kurmanji
wikipedia        wkv            kv            Komi
wikipedia        wkw            kw            Cornish
wikipedia        wky            ky            Kirghiz
wikipedia        wla            la            Latin
wikipedia        wlad           lad           Ladino
wikipedia        wlb            lb            Luxembourgish
wikipedia        wlbe           lbe           Lak
wikipedia        wlez           lez           Lezgian
wikipedia        wlfn           lfn           Lingua-Franca-Nova
wikipedia        wlg            lg            Luganda
wikipedia        wli            li            Limburgish
wikipedia        wlij           lij           Ligurian
wikipedia        wlmo           lmo           Lombard
wikipedia        wln            ln            Lingala
wikipedia        wlo            lo            Lao
wikipedia        wlrc           lrc           Northern-Luri
wikipedia        wlt            lt            Lithuanian
wikipedia        wltg           ltg           Latgalian
wikipedia        wlv            lv            Latvian
wikipedia        wmai           mai           Maithili
wikipedia        wmap-bms       map-bms       Banyumasan
wikipedia        wmdf           mdf           Moksha
wikipedia        wmg            mg            Malagasy
wikipedia        wmh            mh            Marshallese
wikipedia        wmhr           mhr           Meadow-Mari
wikipedia        wmi            mi            Maori
wikipedia        wmin           min           Minangkabau
wikipedia        wmk            mk            Macedonian
wikipedia        wml            ml            Malayalam
wikipedia        wmn            mn            Mongolian
wikipedia        wmr            mr            Marathi
wikipedia        wmrj           mrj           Hill-Mari
wikipedia        wms            ms            Malay
wikipedia        wmt            mt            Maltese
wikipedia        wmus           mus           Muscogee
wikipedia        wmwl           mwl           Mirandese
wikipedia        wmy            my            Burmese
wikipedia        wmyv           myv           Erzya
wikipedia        wmzn           mzn           Mazandarani
wikipedia        wna            na            Nauruan
wikipedia        wnah           nah           Nahuatl
wikipedia        wnap           nap           Neapolitan
wikipedia        wnds           nds           Low-Saxon
wikipedia        wnds-nl        nds-nl        Dutch-Low-Saxon
wikipedia        wne            ne            Nepali
wikipedia        wnew           new           Newar
wikipedia        wng            ng            Ndonga
wikipedia        wnl            nl            Dutch
wikipedia        wnn            nn            Norwegian-Nynorsk
wikipedia        wno            no            Norwegian-Bokmål
wikipedia        wnov           nov           Novial
wikipedia        wnrm           nrm           Norman
wikipedia        wnso           nso           Northern-Sotho
wikipedia        wnv            nv            Navajo
wikipedia        wny            ny            Chichewa
wikipedia        woc            oc            Occitan
wikipedia        wolo           olo           Livvi-Karelian
wikipedia        wom            om            Oromo
wikipedia        wor            or            Odia
wikipedia        wos            os            Ossetian
wikipedia        wpa            pa            Eastern-Punjabi
wikipedia        wpag           pag           Pangasinan
wikipedia        wpam           pam           Kapampangan
wikipedia        wpap           pap           Papiamentu
wikipedia        wpcd           pcd           Picard
wikipedia        wpdc           pdc           Pennsylvania-German
wikipedia        wpfl           pfl           Palatinate-German
wikipedia        wpi            pi            Pali
wikipedia        wpih           pih           Norfolk
wikipedia        wpl            pl            Polish
wikipedia        wpms           pms           Piedmontese
wikipedia        wpnb           pnb           Western-Punjabi
wikipedia        wpnt           pnt           Pontic
wikipedia        wps            ps            Pashto
wikipedia        wpt            pt            Portuguese
wikipedia        wqu            qu            Quechua
wikipedia        wrm            rm            Romansh
wikipedia        wrmy           rmy           Romani
wikipedia        wrn            rn            Kirundi
wikipedia        wro            ro            Romanian
wikipedia        wroa-rup       roa-rup       Aromanian
wikipedia        wroa-tara      roa-tara      Tarantino
wikipedia        wru            ru            Russian
wikipedia        wrue           rue           Rusyn
wikipedia        wrw            rw            Kinyarwanda
wikipedia        wsa            sa            Sanskrit
wikipedia        wsah           sah           Sakha
wikipedia        wsat           sat           Santali
wikipedia        wsc            sc            Sardinian
wikipedia        wscn           scn           Sicilian
wikipedia        wsco           sco           Scots
wikipedia        wsd            sd            Sindhi
wikipedia        wse            se            Northern-Sami
wikipedia        wsg            sg            Sango
wikipedia        wsh            sh            Serbo-Croatian
wikipedia        wsi            si            Sinhalese
wikipedia        wsimple        simple        Simple-English
wikipedia        wsk            sk            Slovak
wikipedia        wsl            sl            Slovenian
wikipedia        wsm            sm            Samoan
wikipedia        wsn            sn            Shona
wikipedia        wso            so            Somali
wikipedia        wsq            sq            Albanian
wikipedia        wsr            sr            Serbian
wikipedia        wsrn           srn           Sranan
wikipedia        wss            ss            Swati
wikipedia        wst            st            Sesotho
wikipedia        wstq           stq           Saterland-Frisian
wikipedia        wsu            su            Sundanese
wikipedia        wsv            sv            Swedish
wikipedia        wsw            sw            Swahili
wikipedia        wszl           szl           Silesian
wikipedia        wta            ta            Tamil
wikipedia        wtcy           tcy           Tulu
wikipedia        wte            te            Telugu
wikipedia        wtet           tet           Tetum
wikipedia        wtg            tg            Tajik
wikipedia        wth            th            Thai
wikipedia        wti            ti            Tigrinya
wikipedia        wtk            tk            Turkmen
wikipedia        wtl            tl            Tagalog
wikipedia        wtn            tn            Tswana
wikipedia        wto            to            Tongan
wikipedia        wtpi           tpi           Tok-Pisin
wikipedia        wtr            tr            Turkish
wikipedia        wts            ts            Tsonga
wikipedia        wtt            tt            Tatar
wikipedia        wtum           tum           Tumbuka
wikipedia        wtw            tw            Twi
wikipedia        wty            ty            Tahitian
wikipedia        wtyv           tyv           Tuvan
wikipedia        wudm           udm           Udmurt
wikipedia        wug            ug            Uyghur
wikipedia        wuk            uk            Ukrainian
wikipedia        wur            ur            Urdu
wikipedia        wuz            uz            Uzbek
wikipedia        wve            ve            Venda
wikipedia        wvec           vec           Venetian
wikipedia        wvep           vep           Vepsian
wikipedia        wvi            vi            Vietnamese
wikipedia        wvls           vls           West-Flemish
wikipedia        wvo            vo            Volapük
wikipedia        wwa            wa            Walloon
wikipedia        wwar           war           Waray
wikipedia        wwo            wo            Wolof
wikipedia        wwuu           wuu           Wu
wikipedia        wxal           xal           Kalmyk
wikipedia        wxh            xh            Xhosa
wikipedia        wxmf           xmf           Mingrelian
wikipedia        wyi            yi            Yiddish
wikipedia        wyo            yo            Yoruba
wikipedia        wza            za            Zhuang
wikipedia        wzea           zea           Zeelandic
wikipedia        wzh            zh            Chinese
wikipedia        wzh-classical  zh-classical  Classical-Chinese
wikipedia        wzh-min-nan    zh-min-nan    Min-Nan
wikipedia        wzh-yue        zh-yue        Cantonese
wikipedia        wzu            zu            Zulu
